CIVILSTAND;TID;INDHOLD
Fraskilt;2008K1;428864
Fraskilt;2008K2;431550
Fraskilt;2008K3;432713
Fraskilt;2008K4;432156
Fraskilt;2009K1;434233
Fraskilt;2009K2;437466
Fraskilt;2009K3;439378
Fraskilt;2009K4;439428
Fraskilt;2010K1;441913
Fraskilt;2010K2;444765
Fraskilt;2010K3;446333
Fraskilt;2010K4;447258
Fraskilt;2011K1;449609
Fraskilt;2011K2;453640
Fraskilt;2011K3;455105
Fraskilt;2011K4;455846
Fraskilt;2012K1;458430
Fraskilt;2012K2;462738
Fraskilt;2012K3;465210
Fraskilt;2012K4;466356
Fraskilt;2013K1;468891
Fraskilt;2013K2;473292
Fraskilt;2013K3;476507
Fraskilt;2013K4;477056
Fraskilt;2014K1;486336
Fraskilt;2014K2;492909
Fraskilt;2014K3;497069
Fraskilt;2014K4;500795
Fraskilt;2015K1;504505
Fraskilt;2015K2;506621
Fraskilt;2015K3;509922
Fraskilt;2015K4;513060
Fraskilt;2016K1;516864
Fraskilt;2016K2;520775
Fraskilt;2016K3;525180
Fraskilt;2016K4;526340
Fraskilt;2017K1;529457
Fraskilt;2017K2;533905
Fraskilt;2017K3;534656
Fraskilt;2017K4;535372
Fraskilt;2018K1;537834
Fraskilt;2018K2;541010
Fraskilt;2018K3;541999
Fraskilt;2018K4;542280
Fraskilt;2019K1;545085
Fraskilt;2019K2;545597
Fraskilt;2019K3;544731
Fraskilt;2019K4;543846
Fraskilt;2020K1;544588
Fraskilt;2020K2;548229
Fraskilt;2020K3;550715
Fraskilt;2020K4;552419
I alt;2008K1;5475791
I alt;2008K2;5482266
I alt;2008K3;5489022
I alt;2008K4;5505995
I alt;2009K1;5511451
I alt;2009K2;5515287
I alt;2009K3;5519441
I alt;2009K4;5532531
I alt;2010K1;5534738
I alt;2010K2;5540241
I alt;2010K3;5543819
I alt;2010K4;5557709
I alt;2011K1;5560628
I alt;2011K2;5564219
I alt;2011K3;5566856
I alt;2011K4;5579204
I alt;2012K1;5580516
I alt;2012K2;5584758
I alt;2012K3;5587085
I alt;2012K4;5599665
I alt;2013K1;5602628
I alt;2013K2;5605836
I alt;2013K3;5608784
I alt;2013K4;5623501
I alt;2014K1;5627235
I alt;2014K2;5634437
I alt;2014K3;5639719
I alt;2014K4;5655750
I alt;2015K1;5659715
I alt;2015K2;5668743
I alt;2015K3;5678348
I alt;2015K4;5699220
I alt;2016K1;5707251
I alt;2016K2;5717014
I alt;2016K3;5724456
I alt;2016K4;5745526
I alt;2017K1;5748769
I alt;2017K2;5756170
I alt;2017K3;5760694
I alt;2017K4;5778570
I alt;2018K1;5781190
I alt;2018K2;5785864
I alt;2018K3;5789957
I alt;2018K4;5806015
I alt;2019K1;5806081
I alt;2019K2;5811413
I alt;2019K3;5814461
I alt;2019K4;5827463
I alt;2020K1;5822763
I alt;2020K2;5824857
I alt;2020K3;5825337
I alt;2020K4;5837213
